contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313P00663000,2026-03-12 20:14:57+00:00,663.0,2.56,2.59,2.62,1.43,126.548676,19205.0,3310,0.28565167480468745,False,REGULAR,USD,0.0027397260273972603,2.605,0.9954058229441641,0.2863803929638545,-0.37400053944188205,0.03794777122316611,13.208800863498771,-681.2761283113385,-0.689621365450631,-0.001278083113938925
SPY260313P00664000,2026-03-12 20:14:42+00:00,664.0,2.96,2.95,2.98,1.69,133.07086,19664.0,3089,0.2825999475097656,False,REGULAR,USD,0.0027397260273972603,2.965,0.9969071891929487,0.2835081991855577,-0.41183939807593295,0.03937284805010822,13.567389483771226,-691.9843194997352,-0.7596568451436292,-0.0009466990949772038
SPY260313P00665000,2026-03-12 20:14:54+00:00,665.0,3.29,3.34,3.37,1.89,135.0,76087.0,21272,0.27893787475585935,False,REGULAR,USD,0.0027397260273972603,3.355,0.9984085554417333,0.28006716647012736,-0.45116634739718464,0.04055187401215437,13.80406402348797,-694.6027683459449,-0.8324900171120834,-0.0005705424155432243
SPY260313P00666000,2026-03-12 20:14:59+00:00,666.0,3.77,3.76,3.8,2.1799998,137.1069,39301.0,8479,0.27539787109374997,False,REGULAR,USD,0.0027397260273972603,3.78,0.9999099216905178,0.2763047513260842,-0.4919063584662634,0.041406202810535295,13.905531606251579,-689.2473522396317,-0.9079976655317704,-0.00014937738977438143
SPY260313P00667000,2026-03-12 20:14:54+00:00,667.0,4.18,4.21,4.26,2.4199998,137.49998,57851.0,4885,0.2710033837890625,True,REGULAR,USD,0.0027397260273972603,4.234999999999999,1.0014112879393025,0.2717367438953827,-0.5339081279507893,0.041958725033387996,13.858125458986144,-674.2789576598091,-0.9858899901354476,0.00031390330134201794
SPY260313P00668000,2026-03-12 20:13:56+00:00,668.0,4.91,4.66,4.87,2.9699998,153.09276,68958.0,4865,0.274421318359375,True,REGULAR,USD,0.0027397260273972603,4.765000000000001,1.002912654188087,0.26951630985254543,-0.5761727433484123,0.04168154813997259,13.654089064669597,-657.5934163051389,-1.0644674411808488,0.0007896300004152267
SPY260313P00669000,2026-03-12 20:14:59+00:00,669.0,5.2,5.2,5.39,3.0199997,138.53209,57055.0,5370,0.26807372558593745,True,REGULAR,USD,0.0027397260273972603,5.295,1.0044140204368714,0.2640861140253596,-0.6196521582417386,0.041367066587244566,13.27804480822322,-624.8752344360158,-1.1452616851699606,0.0013063323683007349
SPY260313P00670000,2026-03-12 20:14:52+00:00,670.0,5.77,5.79,6.0,3.36,139.41908,64650.0,33446,0.26538820556640624,True,REGULAR,USD,0.0027397260273972603,5.895,1.005915386685656,0.2605524848716549,-0.6621748381821813,0.040237719557311896,12.742728124828094,-589.8149781171708,-1.2245018406110455,0.0017929881601582358
SPY260313P00671000,2026-03-12 20:14:54+00:00,671.0,6.32,6.34,6.65,3.67,138.49055,13331.0,5057,0.26233647827148443,True,REGULAR,USD,0.0027397260273972603,6.495,1.0074167529344407,0.25336500925447614,-0.7064756040964159,0.03897114019352498,12.001169996632601,-537.7258120550939,-1.3069866987718217,0.002337692360947647
SPY260313P00672000,2026-03-12 20:14:44+00:00,672.0,7.01,6.94,7.37,4.08,139.24913,7918.0,5551,0.2618482019042969,True,REGULAR,USD,0.0027397260273972603,7.155,1.0089181191832253,0.2471151464579584,-0.7493095005436992,0.03693946547483409,11.094910690600758,-482.1140325163886,-1.3869591345283425,0.0028272396093835485
